"table_name","column_name","data_type","description","business_meaning","example_value","related_kpi","notes"
"deployment_outcomes","deployment_id","string","Unique deployment identifier","Primary key for release deployment","DEP-2026-0001","Total Deployments","Primary Key"
"deployment_outcomes","service","string","Microservice name","Target software service being deployed","auth-service","Service Risk Breakdown","Enum: {auth-service, payment-service, user-service, search-service, order-service}"
"deployment_outcomes","environment","string","Target environment","Deployment environment","production","Environment Vulnerability Rate","Enum: {production, staging, development}"
"deployment_outcomes","version","string","Release version tag","Semantic version string","v1.2.0","Release Frequency","Optional version tag"
"deployment_outcomes","commit_id","string","Git commit hash","Commit snapshot hash","abc1234","Deployment Tracking","7-char hex"
"deployment_outcomes","branch","string","Git branch name","Source git branch","hotfix/patch-01","Branch Risk Rate","Categories: hotfix/*, release/*, main"
"deployment_outcomes","deployed_by","string","Engineer or system","User or system triggering deploy","ci-cd-bot","User Risk Analysis","System or engineer ID"
"deployment_outcomes","deploy_timestamp","datetime","Deployment start timestamp","UTC timestamp of deployment start","2026-03-01T08:00:00Z","Temporal Trend Analysis","ISO 8601 UTC"
"deployment_outcomes","day_of_week","string","Day of week","Day name of deployment","Monday","Temporal Risk Heatmap","e.g. Monday, Friday"
"deployment_outcomes","deploy_hour","integer","Hour of day (0-23)","Deploy hour in 24-hour UTC format","14","Off-Hours Deployment Risk","Range 0-23"
"deployment_outcomes","is_weekend","boolean","Weekend binary flag","1 if deployed on Saturday or Sunday else 0","0","Weekend Release Rate","0 or 1"
"deployment_outcomes","is_after_hours","boolean","After-hours binary flag","1 if deployed outside 08:00-18:00 UTC else 0","1","After-Hours Instability","0 or 1"
"deployment_outcomes","time_bucket","string","Operational time window","Deployment time classification","Business Hours","Time Window Risk","Business Hours / Off-Hours / Night Shift"
"deployment_outcomes","outcome","string","Release health outcome","Categorical outcome classification","rolled_back","Rollback & Alert Rate","Enum: {stable, alerted, rolled_back}"
"deployment_outcomes","has_rollback","boolean","Rollback indicator flag","1 if deployment suffered rollback else 0","1","Rollback Rate","0 or 1"
"deployment_outcomes","has_alert","boolean","Alert indicator flag","1 if deployment triggered incident/alert else 0","1","Alert Rate","0 or 1"
"deployment_outcomes","is_instability","boolean","Instability binary flag","1 if outcome is alerted or rolled_back else 0","1","Instability Rate","0 or 1"
"deployment_outcomes","matched_incident_id","string","Linked incident ID","Incident ID within 2-hour window","INC0010001","Incident Matching","Nullable"
"deployment_outcomes","priority_bucket","string","Incident priority level","ServiceNow incident priority classification","High (P2)","MTTR by Priority","Enum: {Critical (P1), High (P2), Moderate (P3), Low (P4), None / Stable}"
"deployment_outcomes","time_to_resolution_hours","float","Mean time-to-resolution","Hours from incident open to resolution","2.5","MTTR","Nullable (in hours)"
"deployment_outcomes","risk_score_weight","float","Calculated risk weight","Composite risk weight","2.0","Composite Risk Score","Range 0.0-3.0"
"vw_active_deployments","risk_severity","string","Calculated risk level","Rule-based severity rating","CRITICAL","Risk Severity Breakdown","Derived: CRITICAL, HIGH, MEDIUM, LOW"
"agg_daily_release_risk","aggregation_date","string","Date grain (YYYY-MM-DD)","Daily aggregation bucket date","2026-03-01","Daily Risk Trend","Primary Key part 1"
"agg_daily_release_risk","instability_rate_pct","float","Percentage unstable deploys","Percentage of deployments resulting in alert or rollback","25.0","Daily Instability %","Pre-aggregated KPI"
